,name,rating,company_type,location,old,emp,reviews
228,RSPL Group,4.0,Private,"Mumbai,Maharashtra + 112 more",35 years old,1k-5k employees (India),(1.3k Reviews)
229,Maersk,4.3,Private,Copenhagen + 16 more,118 years old,5k-10k employees (India),(1.3k Reviews)
230,DHFL,4.5,Public,"Mumbai,Maharashtra + 186 more",38 years old,1k-5k employees (India),(1.3k Reviews)
231,Pfizer,4.2,Public,"Chennai,Tamil Nadu",18 years old,1k-5k employees (India),(1.3k Reviews)
232,Lifestyle,4.2,Private,"Bangalore/Bengaluru,Karnataka + 76 more",8 years old,10k-50k employees (India),(1.3k Reviews)
233,MRF Tyres,3.7,Public,"Chennai,Tamil Nadu",76 years old,1k-5k employees (India),(1.3k Reviews)
234,Virtusa Consulting...,3.6,Private,"Southborough,Massachusetts + 18 more",26 years old,5k-10k employees (India),(1.3k Reviews)
235,Life Insurance Cor...,4.3,Private,Mumbai + 296 more,66 years old,1 Lakh+ employees (India),(1.3k Reviews)
236,Ceat Tyres,4.2,Public,"Mumbai,Maharashtra",64 years old,5k-10k employees (India),(1.3k Reviews)
237,Max Healthcare,4.2,Partnership,"Delhi/NCR,New Delhi",21 years old,1k-5k employees (India),(1.3k Reviews)
238,PNB MetLife,3.6,Private,"Mumbai,Maharashtra + 198 more",21 years old,5k-10k employees (India),(1.3k Reviews)
239,G4S,4.2,Private,"Gurgaon/Gurugram,Haryana",26 years old,1 Lakh+ employees (India),(1.3k Reviews)
240,NIIT Technologies,3.4,Public,"Noida,Uttar Pradesh + 74 more",18 years old,5k-10k employees (India),(1.3k Reviews)
241,Conduent,3.6,Private,"Florham Park,New Jersey",5 years old,5k-10k employees (India),(1.2k Reviews)
242,RBL Bank,3.8,Public,"Mumbai,Maharashtra + 153 more",79 years old,1k-5k employees (India),(1.2k Reviews)
243,Kotak Mahindara Li...,3.9,"Mumbai,Maharashtra + 142 more",21 years old,5k-10k employees (India),,(1.2k Reviews)
244,Tata AIA Life Insu...,3.9,Private,"Mumbai,Maharashtra + 163 more",21 years old,5k-10k employees (India),(1.2k Reviews)
245,Delhi Public Schoo...,3.9,Public,"Greater Noida,Uttar Pradesh + 187 more",24 years old,1k-5k employees (India),(1.2k Reviews)
246,BHEL,4.3,Private,"Bangalore/Bengaluru,Karnataka",58 years old,10k-50k employees (India),(1.2k Reviews)
247,Nestle,4.1,Public,Vevey,63 years old,5k-10k employees (India),(1.4k Reviews)
248,Escorts Group,4.2,Public,"Faridabad,Haryana",62 years old,5k-10k employees (India),(1.3k Reviews)
249,Blue Dart Express,4.1,Public,"Mumbai,Maharashtra",39 years old,10k-50k employees (India),(1.3k Reviews)
250,café Coffee day,4.1,Private,"Bengaluru,Karnataka",26 years old,1k-5k employees (India),(1.2k Reviews)
251,Itc Infotech India,3.5,Private,"Bangalore/Bengaluru,Karnataka + 35 more",22 years old,5k-10k employees (India),(1.2k Reviews)
252,MAGMA Fincorp,4.2,Public,"Mumbai,Maharashtra",34 years old,5k-10k employees (India),(1.3k Reviews)
253,Biocon Biologics I...,4.0,Public,"Bangalore/Bengaluru,Karnataka + 51 more",44 years old,10k-50k employees (India),(1.2k Reviews)
254,Voltas,4.2,Public,"Mumbai,Maharashtra",68 years old,5k-10k employees (India),(1.2k Reviews)
255,GeBBS Healthcare S...,3.8,Private,"Culver City,California + 8 more",17 years old,1k-5k employees (India),(1.2k Reviews)
256,I Process Services,4.0,Private,"Delhi/NCR,Delhi + 172 more",17 years old,5k-10k employees (Global),(1.2k Reviews)
257,Bank of America,4.4,Private,Charlotte,24 years old,10k-50k employees (India),(2k Reviews)
258,PVR Cinemas,4.4,Public,Gurgaon + 81 more,25 years old,1k-5k employees (India),(1.2k Reviews)
259,Bhushan Power & St...,3.9,Private,"Delhi/NCR,New Delhi + 42 more",52 years old,501-1k employees (India),(1.2k Reviews)
260,Suzuki,4.1,Private,"Vadodara/Baroda,Gujarat",8 years old,1k-5k employees (India),(5.8k Reviews)
261,PolicyBazaar,3.7,Private,Gurgaon + 16 more,14 years old,5k-10k employees (India),(1.2k Reviews)
262,HDFC Ergo General ...,3.9,Public,"Mumbai,Maharashtra + 128 more",20 years old,1k-5k employees (India),(1.2k Reviews)
263,JK Cement,4.2,Public,Iselin + 162 more,48 years old,1k-5k employees (India),(1.2k Reviews)
264,Mankind Pharma,4.0,Private,"New Delhi,Delhi",27 years old,5k-10k employees (India),(1.3k Reviews)
265,Aakash Institute,3.5,Private,"New Delhi,Delhi",34 years old,1k-5k employees (India),(1.2k Reviews)
266,L&T Technology Ser...,3.3,"Vadodara/Baroda,Gujarat + 18 more",10 years old,10k-50k employees (India),,(1.1k Reviews)
267,Raymond,3.9,Public,"Thane,Maharashtra",97 years old,1k-5k employees (India),(1.4k Reviews)
268,Optum,4.2,Private,"Noida,Uttar Pradesh + 16 more",13 years old,1k-5k employees (India),(1.1k Reviews)
269,Big Bazaar,4.1,Private,"Mumbai,Maharashtra + 144 more",21 years old,10k-50k employees (India),(1.1k Reviews)
270,Reliance Digital,4.3,Private,"Mumbai,Maharashtra + 182 more",15 years old,1k-5k employees (India),(1.1k Reviews)
271,JMC Projects,4.3,Public,"Mumbai,Maharashtra + 79 more",40 years old,1k-5k employees (India),(1.1k Reviews)
272,AFCONS Infrastruct...,4.4,Partnership,"Mumbai,Maharashtra + 59 more",63 years old,5k-10k employees (India),(1.1k Reviews)
273,Sterling & Wilson,4.1,Private,"Mumbai,Maharashtra + 60 more",95 years old,1k-5k employees (India),(1.1k Reviews)
274,Birla Sun Life Ins...,4.2,"Mumbai,Maharashtra + 239 more",22 years old,10k-50k employees (India),,(1.1k Reviews)
275,Renault-Nissan,4.1,"Chennai,Tamil Nadu",12 years old,5k-10k employees (India),,(1.2k Reviews)
276,Berger Paints,3.8,Public,"Kolkata,West Bengal",99 years old,1k-5k employees (India),(1.2k Reviews)
277,Aditya Birla Group,4.2,"Mumbai,Maharashtra",165 years old,1 Lakh+ employees (India),,(9.9k Reviews)
278,Tata AIG General I...,4.1,Private,"Mumbai,Maharashtra + 158 more",22 years old,5k-10k employees (India),(1.1k Reviews)
