,name,rating,company_type,location,old,emp,reviews
620,Tata Elxsi,3.9,Public,"Bangalore/Bengaluru,Karnataka + 9 more",33 years old,5k-10k employees (India),(589 Reviews)
621,Tata Chemicals,4.2,Public,"Mumbai,Maharashtra",84 years old,1k-5k employees (India),(931 Reviews)
622,Spencer's Retail,4.1,Public,"Kolkata,West Bengal + 49 more",159 years old,1k-5k employees (India),(588 Reviews)
623,Compass Group Sup...,4.0,"Chertsey,Surrey",81 years old,10k-50k employees (India),,(612 Reviews)
624,Bajaj Capital,3.6,Public,"Delhi/NCR,New Delhi",58 years old,1k-5k employees (India),(824 Reviews)
625,Krishna Maruti,4.0,Private,"Gurgaon/Gurugram,Haryana + 21 more",28 years old,1k-5k employees (India),(581 Reviews)
626,Nielsen,3.9,Private,"New York,New York",99 years old,1k-5k employees (India),(704 Reviews)
627,SYSKA LED Lights,3.5,Private,"Pune,Maharashtra + 102 more",10 years old,1k-5k employees (Global),(579 Reviews)
628,Manipal Hospital,4.2,Private,"Bangalore/Bengaluru,Karnataka + 23 more",69 years old,5k-10k employees (India),(579 Reviews)
629,Collabera Technolo...,3.6,Private,"Basking Ridge,New Jersey + 34 more",31 years old,501-1k employees (India),(578 Reviews)
630,Lemon Tree Hotels,4.2,Public,"Delhi/NCR,Delhi + 43 more",20 years old,1k-5k employees (India),(577 Reviews)
631,Cargill,4.2,Private,"Wayzata,Minnesota",157 years old,1k-5k employees (India),(753 Reviews)
632,Wind World,3.9,Private,Mumbai + 40 more,28 years old,5k-10k employees (India),(576 Reviews)
633,BGR Energy Systems,3.8,Public,"Nellore,Andhra Pradesh",37 years old,1k-5k employees (Global),(579 Reviews)
634,Gland Pharma,4.1,Private,"Hyderabad/Secunderabad,Telangana",44 years old,1k-5k employees (India),(1k Reviews)
635,Fincare Small Fina...,3.8,Bangalore + 153 more,15 years old,5k-10k employees (India),,(572 Reviews)
636,Bosch Chassis Syst...,4.3,Private,Gerlingen + 15 more,71 years old,501-1k employees (India),(571 Reviews)
637,SNC-Lavalin,4.5,Public,"Montreal,Quebec",111 years old,501-1k employees (India),(571 Reviews)
638,Straive,3.7,Private,Chennai + 12 more,42 years old,1k-5k employees (India),(571 Reviews)
639,Haldiram Foods,3.9,Private,Nagpur,52 years old,501-1k employees (India),(666 Reviews)
640,Adani Ports and SE...,4.1,Public,"Ahmedabad,Gujrat + 33 more",24 years old,1k-5k employees (India),(570 Reviews)
641,Johnson Lifts,4.0,Private,"Chennai,Tamil Nadu + 47 more",41 years old,501-1k employees (India),(569 Reviews)
642,AGS Transact Techn...,3.7,Private,Mumbai + 77 more,20 years old,10k-50k employees (India),(569 Reviews)
643,Citicorp,3.7,Private,"Mumbai,Maharashtra + 25 more",25 years old,1 Lakh+ employees (Global),(568 Reviews)
644,Iffco Tokio Genera...,4.2,Private,"Gurgaon/Gurugram,Haryana + 143 more",22 years old,1k-5k employees (India),(567 Reviews)
645,Ceasefire Industri...,3.1,Private,"Noida,Uttar Pradesh + 60 more",20 years old,1k-5k employees (Global),(566 Reviews)
646,Luminous Power Tec...,4.1,Private,"Gurgaon/Gurugram,Haryana + 81 more",34 years old,1k-5k employees (India),(564 Reviews)
647,Piaggio,3.9,Private,Pontedera + 59 more,138 years old,1k-5k employees (India),(562 Reviews)
648,Haier Appliances I...,3.9,Private,Qingdao + 67 more,18 years old,1k-5k employees (India),(562 Reviews)
649,Strides Pharma,4.1,Public,"Bangalore/Bengaluru,Karnataka + 26 more",32 years old,1k-5k employees (India),(562 Reviews)
650,Sahara India Pariw...,4.1,Private,"Lucknow,Uttar Pradesh",44 years old,1k-5k employees (India),(982 Reviews)
651,Mondelez Internati...,4.5,Private,"Greater Chicago Area,IL",10 years old,1k-5k employees (India),(916 Reviews)
652,Unichem Laboratori...,4.1,Public,"Mumbai,Maharashtra + 52 more",78 years old,1k-5k employees (India),(560 Reviews)
653,Aadhar Housing Fin...,4.3,Private,"Mumbai,Maharashtra + 158 more",12 years old,1k-5k employees (India),(554 Reviews)
654,SBICAP Securities,3.6,Public,"Mumbai,Maharashtra + 111 more",16 years old,1k-5k employees (India),(552 Reviews)
655,ESAF Microfinance ...,3.9,Private,"Thrissur/Trichur,Kerala + 128 more",6 years old,1k-5k employees (India),(551 Reviews)
656,Ivrcl Infrastructu...,4.2,Public,"Hyderabad/Secunderabad,Telangana + 53 more",35 years old,1k-5k employees (India),(551 Reviews)
657,Aditya Birla Capit...,4.1,Public,Mumbai + 104 more,15 years old,10k-50k employees (India),(549 Reviews)
658,Fluor Daniel India,3.9,Private,"Irving,Texas + 17 more",110 years old,501-1k employees (India),(549 Reviews)
659,Medhaj Techno Conc...,4.5,Private,"Lucknow,Uttar Pradesh + 84 more",15 years old,501-1k employees (India),(548 Reviews)
660,Bisleri,4.0,Private,"Mumbai,Maharashtra + 81 more",57 years old,1k-5k employees (India),(548 Reviews)
661,Next Education Ind...,3.7,Private,Hyderabad + 63 more,15 years old,1k-5k employees (India),(547 Reviews)
662,Micromax Informati...,3.8,Private,"Gurgaon/Gurugram,Haryana",22 years old,1k-5k employees (India),(771 Reviews)
663,Team Computers,3.8,Private,"Delhi/NCR,Delhi + 49 more",35 years old,1k-5k employees (India),(545 Reviews)
664,iSON Xperiences,3.5,Private,Lagos + 23 more,11 years old,5k-10k employees (India),(544 Reviews)
665,TTEC India,4.1,"San Mateo,California + 8 more",40 years old,1k-5k employees (India),,(543 Reviews)
666,CADD Centre Traini...,3.8,Private,"Chennai,Tamil Nadu + 105 more",34 years old,501-1k employees (India),(542 Reviews)
667,Tata Communication...,4.0,Private,Mumbai + 47 more,16 years old,10k-50k employees (India),(541 Reviews)
668,Godrej Group,4.0,Public,Mumbai,125 years old,10k-50k employees (India),(3.7k Reviews)
669,SBI General Insura...,3.9,JV,"Mumbai,Maharashtra + 120 more",13 years old,1k-5k employees (India),(538 Reviews)
670,Bharti Infratel,4.4,Public,"Gurgaon/Gurugram,Haryana + 60 more",16 years old,1k-5k employees (India),(538 Reviews)
671,Medlife,3.4,Private,"Bangalore/Bengaluru,Karnataka + 28 more",8 years old,1k-5k employees (Global),(538 Reviews)
672,TK Elevator,4.1,Private,Essen,27 years old,1k-5k employees (India),(1k Reviews)
673,Feedback Infrastru...,3.9,Private,"Gurgaon/Gurugram,Haryana",32 years old,1k-5k employees (India),(747 Reviews)
674,Vistaar Finance,4.3,Private,Bangalore + 142 more,12 years old,1k-5k employees (India),(536 Reviews)
675,Nirma,4.3,Private,"Ahmedabad,Gujarat + 46 more",32 years old,10k-50k employees (India),(536 Reviews)
676,MiraMed Ajuba,4.0,Private,"Chennai,Tamil Nadu + 4 more",21 years old,1k-5k employees (India),(536 Reviews)
677,Hero Motors,4.2,Private,New Delhi,24 years old,5k-10k employees (India),(3.2k Reviews)
678,Acme Cleantech Sol...,3.7,Private,"Gurgaon/Gurugram,Haryana + 71 more",19 years old,1k-5k employees (India),(534 Reviews)
679,Legato Health Tech...,4.1,"Bangalore/Bengaluru,Karnataka + 5 more",5 years old,5k-10k employees (India),,(533 Reviews)
680,Cerner,3.9,Public,"Kansas,Missouri + 1 more",43 years old,1k-5k employees (India),(533 Reviews)
681,ZS,3.9,Private,"Evanston,Illinois + 5 more",39 years old,5k-10k employees (India),(532 Reviews)
682,THE LEELA PALACES ...,4.3,Private,"Mumbai,Maharashtra + 22 more",39 years old,1k-5k employees (India),(530 Reviews)
683,HTC Global Service...,3.8,Private,"Troy,Michigan + 18 more",32 years old,1k-5k employees (India),(530 Reviews)
684,Automotive Manufac...,4.0,"Mumbai,Maharashtra + 77 more",74 years old,1k-5k employees (India),,(529 Reviews)
685,Chegg,4.3,Private,"Santa Clara,California + 46 more",17 years old,501-1k employees (India),(528 Reviews)
686,V2 Retail,3.5,Public,"Delhi/NCR,Delhi + 59 more",21 years old,501-1k employees (India),(528 Reviews)
687,Atul,3.8,Public,Gujarat + 38 more,75 years old,1k-5k employees (India),(528 Reviews)
688,GlaxoSmithKline Co...,4.4,Public,London,22 years old,501-1k employees (India),(1.5k Reviews)
689,Spicer India,4.4,Private,"Delhi/NCR,Delhi + 31 more",29 years old,1k-5k employees (India),(527 Reviews)
690,Thomas Cook,4.0,Public,"Mumbai,Maharashtra + 62 more",141 years old,5k-10k employees (Global),(527 Reviews)
691,Jubilant Foods Wor...,3.8,"Noida,Uttar Pradesh + 83 more",27 years old,10k-50k employees (India),,(527 Reviews)
692,NSE.IT,3.7,Public,"Mumbai,Maharashtra + 100 more",23 years old,1k-5k employees (Global),(526 Reviews)
693,C.R.I. Pumps,3.8,Private,"Coimbatore,Tamil Nadu + 49 more",61 years old,1k-5k employees (India),(525 Reviews)
694,Apollo Munich Heal...,4.0,Public,Gurgaon + 106 more,15 years old,1k-5k employees (India),(525 Reviews)
695,FastInfo,4.7,Private,"Kolkata,West Bengal + 4 more",3 years old,201-500 employees (India),(525 Reviews)
696,Sandvik Asia,4.4,Private,"Stockholm,Stockholm + 26 more",160 years old,1k-5k employees (India),(524 Reviews)
697,Technip,3.9,Private,Paris + 28 more,5 years old,1k-5k employees (India),(523 Reviews)
698,Indiabulls Venture...,3.5,Public,"Mumbai,Maharashtra + 70 more",27 years old,1k-5k employees (India),(523 Reviews)
699,PI Industries,4.1,Public,"Gurgaon/Gurugram,Haryana + 50 more",75 years old,1k-5k employees (India),(523 Reviews)
700,Broadridge Financi...,3.9,Private,"New York,New York",15 years old,1k-5k employees (India),(522 Reviews)
701,24-7 Intouch,3.3,Private,"Las Vegas,Nevada + 3 more",21 years old,1k-5k employees (India),(520 Reviews)
702,Synchrony,4.4,Private,Stamford + 3 more,19 years old,1k-5k employees (India),(519 Reviews)
703,TUV SUD,4.0,Private,Munich + 49 more,156 years old,1k-5k employees (India),(517 Reviews)
704,Siemens Gamesa Ren...,4.2,Private,"Zamudio,Vizcaya + 38 more",46 years old,1k-5k employees (India),(515 Reviews)
705,Religare Health In...,3.8,Private,Gurgaon,10 years old,1k-5k employees (Global),(761 Reviews)
706,TDK,4.0,Private,"Chuo-ku,Tokyo + 21 more",87 years old,501-1k employees (India),(512 Reviews)
707,IFB,3.6,Public,"Kolkata,West Bengal + 84 more",48 years old,201-500 employees (India),(511 Reviews)
708,Podar Internationa...,4.3,Private,"Mumbai,Maharashtra + 80 more",95 years old,5k-10k employees (India),(511 Reviews)
709,PNB Housing Financ...,4.2,Public,"Delhi/NCR,New Delhi + 79 more",34 years old,1k-5k employees (India),(510 Reviews)
710,Toppr,3.1,Private,"Mumbai,Maharashtra + 38 more",9 years old,1k-5k employees (Global),(510 Reviews)
711,Amneal Pharmaceuti...,4.3,Private,"Bridgewater,New Jersey",20 years old,1k-5k employees (India),(615 Reviews)
712,Hathway,3.9,Private,"Mumbai,Maharashtra + 39 more",63 years old,1k-5k employees (India),(509 Reviews)
713,Annapurna Finance,4.2,Private,Bhubaneswar + 133 more,13 years old,5k-10k employees (India),(509 Reviews)
714,Alstom,4.1,Private,Saint-Ouen + 44 more,94 years old,5k-10k employees (India),(509 Reviews)
715,Granules India,4.0,Public,"Hyderabad/Secunderabad,Telangana + 5 more",38 years old,1k-5k employees (India),(509 Reviews)
716,Capacit'e Infrapro...,3.8,Public,"Mumbai,Maharashtra",10 years old,1k-5k employees (India),(535 Reviews)
717,Spandana Sphoorty ...,3.4,Public,"Hyderabad/Secunderabad,Telangana + 135 more",24 years old,5k-10k employees (India),(507 Reviews)
718,Samsung Engineerin...,4.2,Private,"Suwon-Si,Gyeonggi-Do + 35 more",16 years old,1k-5k employees (India),(506 Reviews)
719,Samsung Engineerin...,4.2,Private,"Suwon-Si,Gyeonggi-Do + 35 more",16 years old,1k-5k employees (India),(506 Reviews)
720,Nexa,4.1,Private,"Delhi/NCR,Delhi + 133 more",7 years old,1k-5k employees (India),(505 Reviews)
721,Galfar,4.2,Private,Muscat + 26 more,50 years old,501-1k employees (India),(504 Reviews)
722,Mando Automotive,4.1,Private,"Kanchipuram,Tamil Nadu + 12 more",16 years old,501-1k employees (India),(503 Reviews)
723,Barbeque Nation,4.1,Private,"Bangalore/Bengaluru,Karnataka + 49 more",16 years old,5k-10k employees (India),(503 Reviews)
724,VIP Industries,3.8,Public,"Mumbai,Maharashtra + 70 more",51 years old,1k-5k employees (India),(503 Reviews)
725,Magna Infotech,3.3,Private,Bangalore + 38 more,25 years old,1k-5k employees (India),(503 Reviews)
726,Mahindra CIE Autom...,3.9,Public,"Mumbai,Maharashtra + 23 more",23 years old,501-1k employees (India),(502 Reviews)
727,Jindal X,3.5,Public,"Delhi/NCR,Delhi + 12 more",24 years old,1k-5k employees (Global),(502 Reviews)
728,Ab Inbev,3.6,Leuven,34 years old,1k-5k employees (India),,(510 Reviews)
729,Dhoot Transmission,3.4,Private,"Mumbai,Maharashtra + 14 more",24 years old,5k-10k employees (Global),(500 Reviews)
730,Viraj Profiles,3.7,Private,"Mumbai,Maharashtra + 13 more",22 years old,1k-5k employees (India),(498 Reviews)
731,Aarvee Associates,3.9,Private,"Hyderabad/Secunderabad,Telangana + 82 more",33 years old,1k-5k employees (India),(498 Reviews)
732,OM Logistics,4.0,Private,"Delhi/NCR,Delhi + 80 more",23 years old,1k-5k employees (India),(497 Reviews)
733,KIA MOTORS,3.8,Private,Seoul + 56 more,78 years old,10k-50k employees (India),(496 Reviews)
734,Sri Chaitanya Educ...,3.8,Private,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,1k-5k employees (Global),(496 Reviews)
735,Pramerica Life Ins...,3.8,Private,New Delhi + 99 more,501-1k employees (Global),,(496 Reviews)
736,Trimax IT Infrastr...,3.3,Private,"Mumbai,Maharashtra",27 years old,5k-10k employees (Global),(500 Reviews)
737,Microsoft Corporat...,4.1,Private,"Redmond,Washington",47 years old,10k-50k employees (India),(553 Reviews)
738,Carnival Cruise Li...,4.6,"Miami,Florida + 18 more",50 years old,1k-5k employees (India),,(494 Reviews)
739,Altran Technologie...,3.7,Private,Neuilly-sur-Seine,40 years old,10k-50k employees (India),(757 Reviews)
740,Kirloskar Oil Engi...,4.1,Public,"Pune,Maharashtra + 61 more",76 years old,1k-5k employees (India),(493 Reviews)
741,ManpowerGroup,4.1,Private,Wisconsin + 74 more,25 years old,1k-5k employees (India),(493 Reviews)
742,Coca-Cola Company,4.3,Private,Atlanta,136 years old,10k-50k employees (India),(2.3k Reviews)
743,Godrej Consumer Pr...,4.3,Public,Mumbai + 69 more,21 years old,1k-5k employees (India),(492 Reviews)
744,JK Lakshmi Cement,4.2,Public,"Delhi/NCR,New Delhi",40 years old,1k-5k employees (India),(522 Reviews)
745,Aviva Life Insuran...,3.8,JV,London + 78 more,326 years old,1k-5k employees (India),(489 Reviews)
746,Pricol,3.8,Public,"Coimbatore,Tamil Nadu",47 years old,1k-5k employees (India),(550 Reviews)
747,Arthur J. Gallaghe...,4.0,Private,"Pune,Maharashtra + 5 more",20 years old,1k-5k employees (India),(488 Reviews)
748,Burger King,3.8,Private,Miami + 54 more,8 years old,5k-10k employees (India),(487 Reviews)
749,ElasticRun,3.6,Private,Pune + 126 more,6 years old,1k-5k employees (India),(486 Reviews)
750,Nilkamal,3.9,Public,"Mumbai,Maharashtra",41 years old,1k-5k employees (India),(540 Reviews)
751,Pizza Hut,4.1,Private,"Plano,Texas + 66 more",64 years old,1k-5k employees (India),(485 Reviews)
752,Bechtel,4.1,Private,"Reston,Virginia + 23 more",124 years old,1k-5k employees (India),(485 Reviews)
753,Finolex Cables,3.9,Public,Pune + 65 more,66 years old,5k-10k employees (India),(484 Reviews)
754,Vedantu,3.4,Bangalore + 45 more,11 years old,5k-10k employees (India),,(482 Reviews)
755,Sundaram Finance,4.2,Public,"Chennai,Tamil Nadu + 148 more",68 years old,1k-5k employees (India),(481 Reviews)
756,MDIndia Health Ins...,3.9,Private,"Pune,Maharashtra + 52 more",22 years old,1k-5k employees (India),(481 Reviews)
757,Egis  India Consul...,4.1,Private,"Gurgaon/Gurugram,Haryana + 70 more",17 years old,10k-50k employees (Global),(479 Reviews)
758,Caterpillar Inc,4.2,Private,"Deerfield,Illinois",97 years old,5k-10k employees (India),(622 Reviews)
759,Yashoda Hospitals,3.8,Private,"Ghaziabad,Uttar Pradesh + 15 more",33 years old,1k-5k employees (Global),(478 Reviews)
760,Polycab Wires,4.1,Private,"Mumbai,Maharashtra + 53 more",26 years old,1k-5k employees (India),(478 Reviews)
761,ANZ Banking Group,4.2,"Melbourne,Victoria",15 years old,5k-10k employees (India),,(596 Reviews)
762,Ruchi Soya Industr...,4.1,Public,"Mumbai,Maharashtra + 74 more",36 years old,5k-10k employees (India),(475 Reviews)
763,Schaeffler India,4.2,Public,"Mumbai,Maharashtra + 19 more",76 years old,1k-5k employees (India),(475 Reviews)
764,Supreme Industries,4.0,Public,Mumbai,80 years old,10k-50k employees (India),(517 Reviews)
765,NoBroker,4.2,Private,Bangalore,8 years old,1k-5k employees (India),(476 Reviews)
766,Inventurus Knowled...,3.2,Private,"Navi Mumbai,Maharashtra + 4 more",16 years old,5k-10k employees (Global),(473 Reviews)
767,Slk Software Servi...,3.7,Private,"Bangalore/Bengaluru,Karnataka + 4 more",22 years old,1k-5k employees (India),(473 Reviews)
768,1point1 Solutions,3.4,Public,"Navi Mumbai,Maharashtra + 12 more",14 years old,1k-5k employees (Global),(473 Reviews)
769,Crowne Plaza,4.2,Public,"Atlanta,Georgia",39 years old,501-1k employees (India),(1.3k Reviews)
770,Thyrocare Technolo...,3.0,Public,"Mumbai,Maharashtra + 30 more",26 years old,1k-5k employees (Global),(472 Reviews)
771,DCM Shriram,4.1,Public,"Delhi/NCR,New Delhi",32 years old,1k-5k employees (India),(500 Reviews)
772,Greaves Cotton,4.2,Public,"Mumbai,Maharashtra + 24 more",163 years old,1k-5k employees (India),(471 Reviews)
773,AstraZeneca,4.1,Public,"Cambridge,Cambridgeshire + 31 more",23 years old,1k-5k employees (India),(471 Reviews)
774,Punjab National Ba...,4.1,Private,"Delhi/NCR,Delhi + 111 more",128 years old,50k-1 Lakh employees (India),(471 Reviews)
775,Suryoday Small Fin...,3.8,Private,"Navi Mumbai,Maharashtra + 80 more",14 years old,1k-5k employees (India),(471 Reviews)
776,The Lalit,3.9,New Delhi + 24 more,41 years old,1k-5k employees (India),,(470 Reviews)
777,Shriram Life Insur...,4.0,Private,"Hyderabad/Secunderabad,Telangana + 139 more",17 years old,50k-1 Lakh employees (India),(470 Reviews)
778,SS&C TECHNOLOGIES,3.5,Private,"Windsor,Connecticut + 11 more",22 years old,1k-5k employees (India),(470 Reviews)
779,Colgate Palmolive,4.2,Public,"New York,New York + 75 more",85 years old,1k-5k employees (India),(469 Reviews)
780,PhonePe,4.0,Private,"Bangalore/Bengaluru,Karnataka",7 years old,1k-5k employees (India),(503 Reviews)
781,Shubham Housing De...,4.1,Private,Gurgaon + 80 more,12 years old,1k-5k employees (India),(468 Reviews)
782,Fidelity National ...,4.0,Private,"Jacksonville,Florida + 4 more",175 years old,1k-5k employees (India),(468 Reviews)
783,Future Supply Chai...,4.2,Public,"Mumbai,Maharashtra + 53 more",16 years old,1k-5k employees (India),(465 Reviews)
784,ICICI Home Finance,4.0,Private,"Mumbai,Maharashtra + 108 more",23 years old,1k-5k employees (India),(465 Reviews)
785,Max Bupa Health In...,3.9,Private,"Delhi/NCR,New Delhi + 83 more",14 years old,1k-5k employees (India),(465 Reviews)
786,Frankfinn Institut...,2.7,Private,"Gurgaon/Gurugram,Haryana + 46 more",29 years old,1k-5k employees (India),(465 Reviews)
787,Valeo,3.7,Private,Paris + 15 more,99 years old,5k-10k employees (India),(465 Reviews)
788,Educomp Solutions,3.5,Public,"Gurgaon/Gurugram,Haryana + 110 more",28 years old,5k-10k employees (Global),(464 Reviews)
789,Hindustan Zinc,3.7,Public,"Udaipur,Rajasthan + 19 more",56 years old,1k-5k employees (India),(464 Reviews)
790,Fareportal,3.0,Private,"New York,New York + 5 more",20 years old,1k-5k employees (India),(464 Reviews)
791,Marks & Spencer,4.5,Private,London + 43 more,138 years old,1k-5k employees (India),(464 Reviews)
792,Evalueserve,3.4,Private,"Schaffhausen,Schaffhausen + 5 more",22 years old,1k-5k employees (India),(464 Reviews)
793,Mswipe Technologie...,3.2,Private,Mumbai + 63 more,11 years old,1k-5k employees (India),(463 Reviews)
794,Hinduja Leyland Fi...,4.1,Private,"Chennai,Tamil Nadu + 156 more",16 years old,1k-5k employees (India),(463 Reviews)
795,Allstate,4.2,Private,"Bangalore/Bengaluru,Karnataka + 4 more",10 years old,1k-5k employees (India),(462 Reviews)
796,Centum Electronics,3.8,Public,"Bangalore/Bengaluru,Karnataka + 6 more",28 years old,1k-5k employees (India),(462 Reviews)
797,Infinite Computer ...,3.7,Public,Bangalore + 19 more,23 years old,1k-5k employees (India),(462 Reviews)
798,Parexel Internatio...,4.0,Private,"Waltham,Massachusetts + 6 more",40 years old,1k-5k employees (India),(461 Reviews)
799,Tenneco,3.7,Private,"Lake Forest,Illinois + 24 more",82 years old,1k-5k employees (India),(460 Reviews)
800,Moser Baer,4.4,Public,"Delhi/NCR,Delhi + 14 more",39 years old,1k-5k employees (India),(460 Reviews)
801,Continental Automo...,4.1,Private,"Lower Saxony,Hanover + 9 more",151 years old,5k-10k employees (India),(460 Reviews)
802,Tata steel BSL,3.9,Public,New Delhi + 24 more,35 years old,5k-10k employees (Global),(459 Reviews)
803,Nuvoco Vistas Corp,4.3,Private,Mumbai + 79 more,23 years old,1k-5k employees (India),(458 Reviews)
804,Vibgyor High Schoo...,3.8,Private,Mumbai + 13 more,18 years old,1k-5k employees (India),(458 Reviews)
805,Bank of India,3.9,Private,"Mumbai,Maharashtra + 111 more",116 years old,50k-1 Lakh employees (India),(458 Reviews)
806,Ion Exchange India,3.8,Public,"Mumbai,Maharashtra + 57 more",58 years old,1k-5k employees (India),(457 Reviews)
807,Panacea Biotec,3.8,Public,"Delhi/NCR,New Delhi",38 years old,1k-5k employees (India),(460 Reviews)
808,DAV Public School,4.0,Private,"Delhi/NCR,New Delhi + 106 more",136 years old,50k-1 Lakh employees (India),(455 Reviews)
809,Gmmco,4.3,Private,"Chennai,Tamil Nadu + 62 more",55 years old,1k-5k employees (India),(455 Reviews)
810,FLSmidth,3.8,Private,"Copenhagen,Valby + 19 more",140 years old,1k-5k employees (India),(454 Reviews)
811,Perfetti Van Melle,4.2,Private,Lainate + 63 more,21 years old,1k-5k employees (India),(453 Reviews)
812,Kirloskar Brothers,4.1,Public,Pune,134 years old,1k-5k employees (India),(477 Reviews)
813,Future Focus Infot...,3.4,Private,"Chennai,Tamil Nadu + 46 more",25 years old,1k-5k employees (Global),(452 Reviews)
814,VLCC,3.2,Private,"Delhi/NCR,New Delhi + 68 more",33 years old,1k-5k employees (Global),(451 Reviews)
815,Accel Frontline,3.7,Private,"Chennai,Tamil Nadu + 60 more",31 years old,51-200 employees (India),(451 Reviews)
816,Electrosteel Steel...,4.0,Public,Jharkhand + 12 more,16 years old,501-1k employees (India),(449 Reviews)
817,INDO-MIM,4.2,Private,"Bangalore/Bengaluru,Karnataka + 11 more",24 years old,1k-5k employees (India),(449 Reviews)
818,Eaton Corporation,4.1,Public,"Dublin,Dublin + 14 more",111 years old,5k-10k employees (India),(448 Reviews)
819,Sansera Engineerin...,4.2,Public,"Bangalore/Bengaluru,Karnataka + 17 more",36 years old,501-1k employees (India),(447 Reviews)
820,Edelweiss Tokio Li...,4.0,Mumbai + 90 more,1k-5k employees (India),,,(446 Reviews)
821,SoftAge Informatio...,4.3,Private,"Gurgaon/Gurugram,Haryana + 128 more",28 years old,1k-5k employees (India),(446 Reviews)
822,Sadbhav Engineerin...,4.4,Public,"Ahmedabad,Gujarat",34 years old,1k-5k employees (India),(465 Reviews)
823,PNC Infratech,3.9,Public,"Delhi/NCR,Delhi + 46 more",23 years old,5k-10k employees (India),(444 Reviews)
824,Air India Sats Air...,3.9,Private,"Mumbai,Maharashtra + 18 more",12 years old,5k-10k employees (Global),(444 Reviews)
825,Rockman Industries,3.9,Private,"Delhi/NCR,Delhi + 22 more",62 years old,1k-5k employees (India),(443 Reviews)
826,Aye Finance,4.4,Private,Delhi + 128 more,9 years old,1k-5k employees (India),(443 Reviews)
827,Intertek,3.9,Private,London,25 years old,1k-5k employees (India),(445 Reviews)
828,Musashi Auto Parts,4.0,Private,"Gurgaon/Gurugram,Haryana + 8 more",84 years old,501-1k employees (India),(442 Reviews)
829,INDUSIND MARKETING...,4.1,Private,"Chennai,Tamil Nadu + 179 more",20 years old,501-1k employees (India),(442 Reviews)
830,Anchor Electricals,4.0,Private,"Mumbai,Maharashtra + 66 more",59 years old,5k-10k employees (India),(442 Reviews)
831,Mahle Filter Syste...,4.2,Private,"Stuttgart,Germany + 17 more",17 years old,1k-5k employees (India),(441 Reviews)
832,C&S Electric,3.8,Private,"Delhi/NCR,New Delhi + 36 more",56 years old,5k-10k employees (India),(441 Reviews)
833,Apco Infratech,3.8,Private,"Lucknow,Uttar Pradesh + 44 more",30 years old,1k-5k employees (India),(440 Reviews)
834,Imperial Auto Indu...,3.7,Public,"Faridabad,Haryana + 23 more",53 years old,1k-5k employees (India),(439 Reviews)
835,Newgen Software Te...,3.3,Public,"Delhi/NCR,New Delhi + 18 more",30 years old,1k-5k employees (Global),(439 Reviews)
836,Hindustan Sanitary...,4.0,Public,"Gurgaon/Gurugram,Haryana + 49 more",62 years old,501-1k employees (India),(438 Reviews)
837,Hatsun Agro Produc...,4.1,Public,"Chennai,Tamil Nadu + 55 more",52 years old,1k-5k employees (India),(438 Reviews)
838,Huhtamaki,4.2,Private,Espoo + 22 more,87 years old,201-500 employees (India),(438 Reviews)
839,DuPont,4.2,Private,"Wilmington,Delaware Valley + 46 more",220 years old,1k-5k employees (India),(438 Reviews)
840,LOREAL,4.3,Private,Clichy,31 years old,1k-5k employees (India),(459 Reviews)
841,Jain Irrigation Sy...,4.1,Public,"Jalgaon,Maharashtra + 63 more",59 years old,10k-50k employees (Global),(437 Reviews)
842,Hyundai Mobis,3.8,Private,"Kanchipuram,Tamil Nadu + 22 more",5 years old,51-200 employees (India),(437 Reviews)
843,Syngenta,4.2,Private,"Basel,Basel + 86 more",22 years old,1k-5k employees (India),(436 Reviews)
844,Neel Metal Product...,4.1,Gurgaon + 25 more,201-500 employees (India),,,(435 Reviews)
845,United Spirits,4.1,Public,"Bangalore/Bengaluru,Karnataka + 82 more",25 years old,5k-10k employees (Global),(435 Reviews)
846,XL Dynamics,3.5,Private,"Navi Mumbai,Maharashtra + 16 more",20 years old,1k-5k employees (Global),(433 Reviews)
847,Reliance Capital,3.9,Public,"Navi Mumbai,Maharashtra",17 years old,1k-5k employees (India),(3.2k Reviews)
848,Pine Labs,4.1,Private,Noida + 55 more,24 years old,1k-5k employees (India),(432 Reviews)
849,Schlumberger,4.2,Private,"Houston,Texas",14 years old,5k-10k employees (India),(440 Reviews)
850,IndiaFirst Life In...,4.1,Private,"Mumbai,Maharashtra + 92 more",13 years old,1k-5k employees (India),(431 Reviews)
851,Dodsal Engineering...,4.2,Conglomerate,"Dubai,Dubai + 25 more",39 years old,501-1k employees (India),(431 Reviews)
852,TE Connectivity,4.1,Private,Schaffhausen + 6 more,15 years old,1k-5k employees (India),(431 Reviews)
853,Royal Caribbean In...,4.8,"Miami,Florida",53 years old,501-1k employees (India),,(579 Reviews)
854,Vestas,4.2,Private,"Chennai,Tamil Nadu + 27 more",26 years old,1k-5k employees (India),(430 Reviews)
855,AVEVA,4.3,Private,Cambridge + 8 more,55 years old,1k-5k employees (India),(430 Reviews)
856,Mahindra First Cho...,4.0,Private,Mumbai + 88 more,28 years old,501-1k employees (India),(429 Reviews)
857,KEI Industries,3.8,Public,"Delhi/NCR,Delhi + 50 more",54 years old,1k-5k employees (India),(428 Reviews)
